Asta,2021-07-15 14:30:00+02:00,2021-07-15 15:30:00+02:00,None,None
Asta - nytt trix,2021-07-19 11:00:00+02:00,2021-07-19 12:00:00+02:00,None,None
Asta - nosarbete,2021-07-20 11:00:00+02:00,2021-07-20 12:00:00+02:00,None,None
"Asta - dogparkour, utmaning",2021-07-22 11:00:00+02:00,2021-07-22 12:00:00+02:00,None,None
Asta - problemlösning,2021-07-26 11:00:00+02:00,2021-07-26 12:00:00+02:00,None,None
Asta - berikning,2021-07-27 11:00:00+02:00,2021-07-27 12:00:00+02:00,None,None
Asta - dogparkour,2021-07-15 11:00:00+02:00,2021-07-15 11:30:00+02:00,None,None
Asta - dogparkour,2021-07-29 11:00:00+02:00,2021-07-29 12:00:00+02:00,None,None
Asta - klöjvning/jogging,2021-07-16 11:00:00+02:00,2021-07-16 11:30:00+02:00,None,None
Asta - klöjvning/jogging,2021-07-30 11:00:00+02:00,2021-07-30 12:00:00+02:00,None,None
Asta - nytt trix (rally?),2021-07-28 11:00:00+02:00,2021-07-28 12:00:00+02:00,None,None
Asta - berikning (naturliga beteenden),2021-07-21 11:00:00+02:00,2021-07-21 12:00:00+02:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-07-23 11:00:00+02:00,2021-07-23 12:00:00+02:00,None,None
Asta - nytt trix,2021-08-02 14:30:00+02:00,2021-08-02 15:30:00+02:00,None,None
Asta - nosarbete,2021-08-03 14:30:00+02:00,2021-08-03 15:30:00+02:00,None,None
"Asta - dogparkour, utmaning",2021-08-05 14:30:00+02:00,2021-08-05 15:30:00+02:00,None,None
Asta - problemlösning,2021-08-09 11:00:00+02:00,2021-08-09 12:00:00+02:00,None,None
Asta - berikning,2021-08-10 11:00:00+02:00,2021-08-10 12:00:00+02:00,None,None
Asta - nytt trix,2021-08-16 11:00:00+02:00,2021-08-16 12:00:00+02:00,None,None
Asta - nosarbete,2021-08-17 11:00:00+02:00,2021-08-17 12:00:00+02:00,None,None
Asta - berikning (naturliga beteenden),2021-08-18 11:00:00+02:00,2021-08-18 12:00:00+02:00,None,None
Asta - berikning (naturliga beteenden),2021-09-01 11:15:00+02:00,2021-09-01 12:15:00+02:00,None,None
"Asta - dogparkour, utmaning",2021-08-19 11:00:00+02:00,2021-08-19 12:00:00+02:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-08-20 11:00:00+02:00,2021-08-20 12:00:00+02:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-08-20 10:15:00+02:00,2021-08-20 11:15:00+02:00,None,None
Asta - nytt trix (rally?),2021-08-11 11:00:00+02:00,2021-08-11 12:00:00+02:00,None,None
Asta - nytt trix (rally?),2021-09-08 10:30:00+02:00,2021-09-08 11:30:00+02:00,None,None
Asta - dogparkour,2021-08-12 11:00:00+02:00,2021-08-12 12:00:00+02:00,None,None
Asta - dogparkour,2021-09-09 10:30:00+02:00,2021-09-09 11:30:00+02:00,None,None
Asta - klöjvning/jogging,2021-08-13 11:00:00+02:00,2021-08-13 12:00:00+02:00,None,None
Asta - klöjvning/jogging,2021-09-10 10:30:00+02:00,2021-09-10 11:30:00+02:00,None,None
Asta hos Lollo,2021-09-17 07:00:00+00:00,2021-09-17 10:00:00+00:00,None,None
